"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2022","11,437.07","11,474.82","11,491.99","11,403.38","320.24M","2.15%"
"11/14/2022","11,196.22","11,233.90","11,350.13","11,167.17","983.39M","-1.12%"
"11/11/2022","11,323.33","11,124.75","11,352.43","11,069.83","1.21B","1.88%"
"11/10/2022","11,114.15","10,869.17","11,119.12","10,779.95","1.40B","7.35%"
"11/09/2022","10,353.17","10,528.45","10,564.97","10,344.01","1.04B","-2.48%"
"11/08/2022","10,616.20","10,611.53","10,745.64","10,472.73","994.35M","0.49%"
"11/07/2022","10,564.52","10,516.94","10,587.96","10,428.91","930.25M","0.85%"
"11/04/2022","10,475.25","10,548.14","10,553.63","10,262.93","1.09B","1.28%"
"11/03/2022","10,342.94","10,399.45","10,486.01","10,319.54","1.01B","-1.73%"
"11/02/2022","10,524.80","10,885.01","10,993.24","10,522.90","1.10B","-3.36%"
"11/01/2022","10,890.84","11,154.74","11,156.35","10,881.19","903.26M","-0.89%"
"10/31/2022","10,988.15","11,028.43","11,047.94","10,914.00","1.08B","-1.03%"
"10/28/2022","11,102.45","10,766.20","11,117.04","10,766.20","977.64M","2.87%"
"10/27/2022","10,792.67","10,971.95","10,998.73","10,780.50","973.52M","-1.63%"
"10/26/2022","10,970.99","10,969.02","11,205.84","10,948.38","1.00B","-2.04%"
"10/25/2022","11,199.12","10,996.97","11,210.38","10,996.97","991.08M","2.25%"
"10/24/2022","10,952.61","10,867.07","10,983.52","10,713.33","921.20M","0.86%"
"10/21/2022","10,859.72","10,576.04","10,875.72","10,542.43","1.02B","2.31%"
"10/20/2022","10,614.84","10,657.41","10,837.30","10,574.55","866.25M","-0.61%"
"10/19/2022","10,680.51","10,689.31","10,808.04","10,592.88","921.13M","-0.85%"
"10/18/2022","10,772.40","10,963.99","10,972.97","10,670.12","929.62M","0.90%"
"10/17/2022","10,675.80","10,575.65","10,696.59","10,569.69","944.31M","3.43%"
"10/14/2022","10,321.39","10,742.81","10,766.68","10,308.81","918.04M","-3.08%"
"10/13/2022","10,649.15","10,131.82","10,697.71","10,088.83","1.05B","2.23%"
"10/12/2022","10,417.10","10,437.00","10,494.53","10,372.21","823.61M","-0.09%"
"10/11/2022","10,426.19","10,484.37","10,608.84","10,351.98","990.74M","-1.10%"
